name,place,role,phone
Yash Dayal,Uttar Pradesh,BOWL,9810000056
Mukesh Kumar,West Bengal,BOWL,9810000057
Mohit Sharma,Haryana,BOWL,9810000058
Akash Madhwal,Uttarakhand,BOWL,9810000059
Harshit Rana,Delhi,BOWL,9810000060
Umran Malik,Jammu,BOWL,9810000061
Khaleel Ahmed,Telangana,BOWL,9810000062
Sandeep Sharma,Punjab,BOWL,9810000063
Jaydev Unadkat,Saurashtra,BOWL,9810000064
Navdeep Saini,Haryana,BOWL,9810000065
Shivam Mavi,Uttar Pradesh,BOWL,9810000066
Tushar Deshpande,Maharashtra,BOWL,9810000067
Kagiso Rabada,South Africa,BOWL,9810000068
Anrich Nortje,South Africa,BOWL,9810000069
Gerald Coetzee,South Africa,BOWL,9810000070
Pat Cummins,Australia,BOWL,9810000071
Josh Hazlewood,Australia,BOWL,9810000072
Trent Boult,New Zealand,BOWL,9810000073
Lockie Ferguson,New Zealand,BOWL,9810000074
Alzarri Joseph,West Indies,BOWL,9810000075
Mustafizur Rahman,Bangladesh,BOWL,9810000076
Rashid Khan,Afghanistan,BOWL,9810000077
Noor Ahmad,Afghanistan,BOWL,9810000078
Shaheen Afridi,Pakistan,BOWL,9810000079
Naseem Shah,Pakistan,BOWL,9810000080
Ravindra Jadeja,Gujarat,AR,9810000081
Hardik Pandya,Gujarat,AR,9810000082
Axar Patel,Gujarat,AR,9810000083
Washington Sundar,Tamil Nadu,AR,9810000084
Ravichandran Ashwin,Tamil Nadu,AR,9810000085
Shardul Thakur,Maharashtra,AR,9810000086
Glenn Maxwell,Australia,AR,9810000087
Marcus Stoinis,Australia,AR,9810000088
Mitchell Marsh,Australia,AR,9810000089
Ben Stokes,England,AR,9810000090
Liam Livingstone,England,AR,9810000091
Sam Curran,England,AR,9810000092
Moeen Ali,England,AR,9810000093
Andre Russell,West Indies,AR,9810000094
Sunil Narine,West Indies,AR,9810000095
Jason Holder,West Indies,AR,9810000096
Romario Shepherd,West Indies,AR,9810000097
Aiden Markram,South Africa,AR,9810000098
Marco Jansen,South Africa,AR,9810000099
Shakib Al Hasan,Bangladesh,AR,9810000100
Mehidy Hasan Miraz,Bangladesh,AR,9810000101
Mohammad Nabi,Afghanistan,AR,9810000102
Azmatullah Omarzai,Afghanistan,AR,9810000103
Wanindu Hasaranga,Sri Lanka,AR,9810000104
Mitchell Santner,New Zealand,AR,9810000105
Rachin Ravindra,New Zealand,AR,9810000106
Abhishek Sharma,Punjab,AR,9810000107
Shivam Dube,Mumbai,AR,9810000108
Venkatesh Iyer,Madhya Pradesh,AR,9810000109
Nitish Kumar Reddy,Telangana,AR,9810000110
Cameron Green,Australia,AR,9810000111
Shadab Khan,Pakistan,AR,9810000112
Tilak Varma,Telangana,PLY,9810000113
Rinku Singh,Uttar Pradesh,PLY,9810000114
Rahul Tripathi,Maharashtra,PLY,9810000115
Shahbaz Ahmed,West Bengal,PLY,9810000116
Rajat Patidar,Madhya Pradesh,PLY,9810000117
Sarfaraz Khan,Mumbai,PLY,9810000118
Nehal Wadhera,Punjab,PLY,9810000119
Angkrish Raghuvanshi,West Bengal,PLY,9810000120
Shashank Singh,Chhattisgarh,PLY,9810000121
Naman Dhir,Himachal Pradesh,PLY,9810000122
Rilee Rossouw,South Africa,PLY,9810000123
Matthew Wade,Australia,PLY,9810000124
Usman Khan,Pakistan,PLY,9810000125
Sahibzada Farhan,Pakistan,PLY,9810000126
Iftikhar Ahmed,Pakistan,PLY,9810000127
Fakhar Zaman,Pakistan,PLY,9810000128
Temba Bavuma,South Africa,PLY,9810000129
Reeza Hendricks,South Africa,PLY,9810000130
Tony de Zorzi,South Africa,PLY,9810000131
Ryan Rickelton,South Africa,PLY,9810000132
Dewald Brevis,South Africa,PLY,9810000133
Kyle Mayers,West Indies,PLY,9810000134
Evin Lewis,West Indies,PLY,9810000135
Shai Hope,West Indies,PLY,9810000136
Brandon King,West Indies,PLY,9810000137
Akeal Hosein,West Indies,PLY,9810000138
Odean Smith,West Indies,PLY,9810000139
Roston Chase,West Indies,PLY,9810000140
Gudakesh Motie,West Indies,PLY,9810000141
Pathum Nissanka,Sri Lanka,PLY,9810000142
Maheesh Theekshana,Sri Lanka,PLY,9810000143
Dhananjaya de Silva,Sri Lanka,PLY,9810000144
Kusal Mendis,Sri Lanka,PLY,9810000145
Dasun Shanaka,Sri Lanka,PLY,9810000146
Towhid Hridoy,Bangladesh,PLY,9810000147
Tanzid Hasan,Bangladesh,PLY,9810000148
Mahmudullah,Bangladesh,PLY,9810000149
Taskin Ahmed,Bangladesh,PLY,9810000150
Shoriful Islam,Bangladesh,PLY,9810000151
Nahid Rana,Bangladesh,PLY,9810000152
Liton Das,Bangladesh,PLY,9810000153
Matthew Short,Australia,PLY,9810000154
Aaron Hardie,Australia,PLY,9810000155
Spencer Johnson,Australia,PLY,9810000156
Nathan Ellis,Australia,PLY,9810000157
Jason Behrendorff,Australia,PLY,9810000158
David Willey,England,PLY,9810000159
Adil Rashid,England,PLY,9810000160
Mark Wood,England,PLY,9810000161
Chris Woakes,England,PLY,9810000162
Dawid Malan,England,PLY,9810000163
Reece Topley,England,PLY,9810000164
Imam-ul-Haq,Pakistan,PLY,9810000165
Abrar Ahmed,Pakistan,PLY,9810000166
Haris Rauf,Pakistan,PLY,9810000167
Keshav Maharaj,South Africa,PLY,9810000168
Tabraiz Shamsi,South Africa,PLY,9810000169
Nandre Burger,South Africa,PLY,9810000170
Wiaan Mulder,South Africa,PLY,9810000171
Lungi Ngidi,South Africa,PLY,9810000172
Jeffrey Vandersay,Sri Lanka,PLY,9810000173
Harvik Desai,Saurashtra,PLY,9810000174
Anshul Kamboj,Haryana,PLY,9810000175
Sai Kishore,Tamil Nadu,PLY,9810000176
Yash Thakur,Vidarbha,PLY,9810000177
Chetan Sakariya,Saurashtra,PLY,9810000178
Kartik Tyagi,Uttar Pradesh,PLY,9810000179
Karn Sharma,Uttar Pradesh,PLY,9810000180
Vijayakanth Viyaskanth,Tamil Nadu,PLY,9810000181
Mandeep Singh,Punjab,PLY,9810000182
Anukul Roy,Bihar,PLY,9810000183
Sanvir Singh,Punjab,PLY,9810000184
Adam Zampa,Australia,PLY,9810000185
Soumya Sarkar,Bangladesh,PLY,9810000186
Ebadot Hossain,Bangladesh,PLY,9810000187
Mohammad Saifuddin,Bangladesh,PLY,9810000188
Zakir Hasan,Bangladesh,PLY,9810000189
Akeal Hosein,Trinidad,PLY,9810000190
