name,place,role,phone
Satish Gowda,Kaimara,PLY,9822000054
Santosh Gowda,Ranjadakatte,PLY,9822000055
Lokesh Gowda,RKpura,PLY,9822000056
Naresh Gowda,Yadur,PLY,9822000057
Dinesh Gowda,Basavani,PLY,9822000058
Girish Gowda,Kammaradi,PLY,9822000059
Harish Gowda,Kattehaklu,PLY,9822000060
Ravi Gowda,Kalmane,PLY,9822000061
Srinivas Gowda,Hilikere,PLY,9822000062
Venkatesh Gowda,Shivamogga,PLY,9822000063
Nagaraj Gowda,Megaravalli,PLY,9822000064
Shivaraj Gowda,Nalur,PLY,9822000065
Basavaraj Gowda,Guddekeri,PLY,9822000066
Prakash Gowda,Agumbe,PLY,9822000067
Shashidhar Gowda,Thirthahalli,PLY,9822000068
Raghunath Gowda,Kaimara,PLY,9822000069
Manjunath Gowda,Ranjadakatte,PLY,9822000070
Siddarama Gowda,RKpura,PLY,9822000071
Thimmappa Gowda,Yadur,PLY,9822000072
Puttaswamy Gowda,Basavani,PLY,9822000073
Shivarama Gowda,Kammaradi,PLY,9822000074
Lakshmana Gowda,Kattehaklu,PLY,9822000075
Govinda Gowda,Kalmane,PLY,9822000076
Hanumantha Gowda,Hilikere,PLY,9822000077
Chandrashekar Gowda,Shivamogga,PLY,9822000078
Vishwanath Gowda,Megaravalli,PLY,9822000079
Krishnamurthy Gowda,Nalur,PLY,9822000080
Venkataramana Gowda,Guddekeri,PLY,9822000081
Nagesh Gowda,Agumbe,PLY,9822000082
Madesh Gowda,Thirthahalli,PLY,9822000083
Sudarshan Gowda,Kaimara,PLY,9822000084
Jagadish Gowda,Ranjadakatte,PLY,9822000085
Umesh Gowda,RKpura,PLY,9822000086
Shiva Gowda,Yadur,PLY,9822000087
Kiran Gowda,Basavani,PLY,9822000088
Rajesh Shetty,Kammaradi,PLY,9822000089
Suresh Shetty,Kattehaklu,PLY,9822000090
Mahesh Shetty,Kalmane,PLY,9822000091
Ganesh Shetty,Hilikere,PLY,9822000092
Ramesh Shetty,Shivamogga,PLY,9822000093
Satish Shetty,Megaravalli,PLY,9822000094
Santosh Shetty,Nalur,PLY,9822000095
Lokesh Shetty,Guddekeri,PLY,9822000096
Naresh Shetty,Agumbe,PLY,9822000097
Dinesh Shetty,Thirthahalli,PLY,9822000098
Girish Shetty,Kaimara,PLY,9822000099
Harish Shetty,Ranjadakatte,PLY,9822000100
Ravi Shetty,RKpura,PLY,9822000101
Srinivas Shetty,Yadur,PLY,9822000102
Venkatesh Shetty,Basavani,PLY,9822000103
Nagaraj Shetty,Kammaradi,PLY,9822000104
Shivaraj Shetty,Kattehaklu,PLY,9822000105
Basavaraj Shetty,Kalmane,PLY,9822000106
Prakash Shetty,Hilikere,PLY,9822000107
Shashidhar Shetty,Shivamogga,PLY,9822000108
Raghunath Shetty,Megaravalli,PLY,9822000109
Manjunath Shetty,Nalur,PLY,9822000110
Siddarama Shetty,Guddekeri,PLY,9822000111
Thimmappa Shetty,Agumbe,PLY,9822000112
Puttaswamy Shetty,Thirthahalli,PLY,9822000113
Shivarama Shetty,Kaimara,PLY,9822000114
Lakshmana Shetty,Ranjadakatte,PLY,9822000115
Govinda Shetty,RKpura,PLY,9822000116
Hanumantha Shetty,Yadur,PLY,9822000117
Chandrashekar Shetty,Basavani,PLY,9822000118
Vishwanath Shetty,Kammaradi,PLY,9822000119
Krishnamurthy Shetty,Kattehaklu,PLY,9822000120
Venkataramana Shetty,Kalmane,PLY,9822000121
Nagesh Shetty,Hilikere,PLY,9822000122
Madesh Shetty,Shivamogga,PLY,9822000123
Sudarshan Shetty,Megaravalli,PLY,9822000124
Jagadish Shetty,Nalur,PLY,9822000125
Umesh Shetty,Guddekeri,PLY,9822000126
Shiva Shetty,Agumbe,PLY,9822000127
Kiran Shetty,Thirthahalli,PLY,9822000128
Rajesh Hegde,Kaimara,PLY,9822000129
Suresh Hegde,Ranjadakatte,PLY,9822000130
Mahesh Hegde,RKpura,PLY,9822000131
Ganesh Hegde,Yadur,PLY,9822000132
Ramesh Hegde,Basavani,PLY,9822000133
Satish Hegde,Kammaradi,PLY,9822000134
Santosh Hegde,Kattehaklu,PLY,9822000135
Lokesh Hegde,Kalmane,PLY,9822000136
Naresh Hegde,Hilikere,PLY,9822000137
Dinesh Hegde,Shivamogga,PLY,9822000138
Girish Hegde,Megaravalli,PLY,9822000139
Harish Hegde,Nalur,PLY,9822000140
Ravi Hegde,Guddekeri,PLY,9822000141
Srinivas Hegde,Agumbe,PLY,9822000142
Venkatesh Hegde,Thirthahalli,PLY,9822000143
Nagaraj Hegde,Kaimara,PLY,9822000144
Shivaraj Hegde,Ranjadakatte,PLY,9822000145
Basavaraj Hegde,RKpura,PLY,9822000146
Prakash Hegde,Yadur,PLY,9822000147
Shashidhar Hegde,Basavani,PLY,9822000148
Raghunath Hegde,Kammaradi,PLY,9822000149
Manjunath Hegde,Kattehaklu,PLY,9822000150
Siddarama Hegde,Kalmane,PLY,9822000151
Thimmappa Hegde,Hilikere,PLY,9822000152
Puttaswamy Hegde,Shivamogga,PLY,9822000153
Shivarama Hegde,Megaravalli,PLY,9822000154
Lakshmana Hegde,Nalur,PLY,9822000155
Govinda Hegde,Guddekeri,PLY,9822000156
Hanumantha Hegde,Agumbe,PLY,9822000157
Chandrashekar Hegde,Thirthahalli,PLY,9822000158
Vishwanath Hegde,Kaimara,PLY,9822000159
Krishnamurthy Hegde,Ranjadakatte,PLY,9822000160
Venkataramana Hegde,RKpura,PLY,9822000161
Nagesh Hegde,Yadur,PLY,9822000162
Madesh Hegde,Basavani,PLY,9822000163
Sudarshan Hegde,Kammaradi,PLY,9822000164
Jagadish Hegde,Kattehaklu,PLY,9822000165
Umesh Hegde,Kalmane,PLY,9822000166
Shiva Hegde,Hilikere,PLY,9822000167
Kiran Hegde,Shivamogga,PLY,9822000168
Rajesh Patil,Megaravalli,PLY,9822000169
Suresh Patil,Nalur,PLY,9822000170
Mahesh Patil,Guddekeri,PLY,9822000171
Ganesh Patil,Agumbe,PLY,9822000172
Ramesh Patil,Thirthahalli,PLY,9822000173
Satish Patil,Kaimara,PLY,9822000174
Santosh Patil,Ranjadakatte,PLY,9822000175
Lokesh Patil,RKpura,PLY,9822000176
Naresh Patil,Yadur,PLY,9822000177
Dinesh Patil,Basavani,PLY,9822000178
Girish Patil,Kammaradi,PLY,9822000179
Harish Patil,Kattehaklu,PLY,9822000180
Ravi Patil,Kalmane,PLY,9822000181
Srinivas Patil,Hilikere,PLY,9822000182
Venkatesh Patil,Shivamogga,PLY,9822000183
Nagaraj Patil,Megaravalli,PLY,9822000184
Shivaraj Patil,Nalur,PLY,9822000185
Basavaraj Patil,Guddekeri,PLY,9822000186
Prakash Patil,Agumbe,PLY,9822000187
Shashidhar Patil,Thirthahalli,PLY,9822000188
Raghunath Patil,Kaimara,PLY,9822000189
Manjunath Patil,Ranjadakatte,PLY,9822000190
Siddarama Patil,RKpura,PLY,9822000191
Thimmappa Patil,Yadur,PLY,9822000192
Puttaswamy Patil,Basavani,PLY,9822000193
Shivarama Patil,Kammaradi,PLY,9822000194
Lakshmana Patil,Kattehaklu,PLY,9822000195
Govinda Patil,Kalmane,PLY,9822000196
Hanumantha Patil,Hilikere,PLY,9822000197
Chandrashekar Patil,Shivamogga,PLY,9822000198
Vishwanath Patil,Megaravalli,PLY,9822000199
Krishnamurthy Patil,Nalur,PLY,9822000200
Venkataramana Patil,Guddekeri,PLY,9822000201
Nagesh Patil,Agumbe,PLY,9822000202
Madesh Patil,Thirthahalli,PLY,9822000203
Sudarshan Patil,Kaimara,PLY,9822000204
Jagadish Patil,Ranjadakatte,PLY,9822000205
Umesh Patil,RKpura,PLY,9822000206
Shiva Patil,Yadur,PLY,9822000207
Kiran Patil,Basavani,PLY,9822000208
Rajesh Nayak,Kammaradi,PLY,9822000209
Suresh Nayak,Kattehaklu,PLY,9822000210
Mahesh Nayak,Kalmane,PLY,9822000211
Ganesh Nayak,Hilikere,PLY,9822000212
Ramesh Nayak,Shivamogga,PLY,9822000213
Satish Nayak,Megaravalli,PLY,9822000214
Santosh Nayak,Nalur,PLY,9822000215
Lokesh Nayak,Guddekeri,PLY,9822000216
Naresh Nayak,Agumbe,PLY,9822000217
Dinesh Nayak,Thirthahalli,PLY,9822000218
Girish Nayak,Kaimara,PLY,9822000219
Harish Nayak,Ranjadakatte,PLY,9822000220
Ravi Nayak,RKpura,PLY,9822000221
Srinivas Nayak,Yadur,PLY,9822000222
Venkatesh Nayak,Basavani,PLY,9822000223
Nagaraj Nayak,Kammaradi,PLY,9822000224
Shivaraj Nayak,Kattehaklu,PLY,9822000225
Basavaraj Nayak,Kalmane,PLY,9822000226
Prakash Nayak,Hilikere,PLY,9822000227
Shashidhar Nayak,Shivamogga,PLY,9822000228
Raghunath Nayak,Megaravalli,PLY,9822000229
Manjunath Nayak,Nalur,PLY,9822000230
Siddarama Nayak,Guddekeri,PLY,9822000231
Thimmappa Nayak,Agumbe,PLY,9822000232
Puttaswamy Nayak,Thirthahalli,PLY,9822000233
Shivarama Nayak,Kaimara,PLY,9822000234
Lakshmana Nayak,Ranjadakatte,PLY,9822000235
Govinda Nayak,RKpura,PLY,9822000236
Hanumantha Nayak,Yadur,PLY,9822000237
Chandrashekar Nayak,Basavani,PLY,9822000238
Vishwanath Nayak,Kammaradi,PLY,9822000239
Krishnamurthy Nayak,Kattehaklu,PLY,9822000240
Venkataramana Nayak,Kalmane,PLY,9822000241
Nagesh Nayak,Hilikere,PLY,9822000242
Madesh Nayak,Shivamogga,PLY,9822000243
Sudarshan Nayak,Megaravalli,PLY,9822000244
Jagadish Nayak,Nalur,PLY,9822000245
Umesh Nayak,Guddekeri,PLY,9822000246
Shiva Nayak,Agumbe,PLY,9822000247
Kiran Nayak,Thirthahalli,PLY,9822000248
